Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Agilent Technologies","A","43370.25","149.93","2087761",".08","9.84","15.73","88.84",".51","6.73","23.33","159","110.24","97","Medical","Medical - Products","19.53","3"
"American Airlines","AAL","8890.26","12.95","56934944","-1.47","-16.27","-1.25","40.78","-21.98",".78","-.3","18.15","10.18","204","Transportation","Transportation - Airline","-.56","3"
"Acadian Asset Management Inc.","AAMI","3343.17","90.08","340229","2.5","4.92","22.29","94.38","78.5","11.49","24.38","97.31","41.93","153","Finance","Financial - Miscellaneous Services","15.17","4"
"Applied Optoelectronics","AAOI","9107.26","103.39","12286946",".06","-2.29","-45.24","43.32","175.13","82.75","-.92","223.1","19.49","50","Computer and Technology","Electronics - Semiconductors","-9.57","3"
"AAON","AAON","6264","75.35","1226251","-.17","-17.92","-42.47","3.32","-11.26","20.11","8.29","148.25","73.49","42","Construction","Building Products - Air Conditioner and Heating","8.24","3"
"Advance Auto Parts","AAP","2547.67","42.76","2465217","-3.32","-24.25","-27.75","13.49","-4.41","-5.42","2.53","64.17","38.75","74","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".97","3"
"Apple","AAPL","4624166","325.13","41367864","2.1","4.43","5.08","79.5","3.8","6.43","27.27","340.08","226.79","46","Computer and Technology","Computer - Micro Computers","27.62","3"
"American Assets Trust","AAT","1379.14","22.41","420051","-2.35","-5.91","-6.53","58.1","5.67","-4.73","4.09","25.85","17.76","102","Finance","REIT and Equity Trust - Retail","4.09","3"
"Allied Gold Corporation","AAUC","3283.04","22.81","700986",".9","23.35","-8.18","53.47","-8.29","82.35","13.81","32.01","13.85","234","Basic Materials","Mining - Gold","-4.19","3"
"AbbVie","ABBV","453041.03","259.99","4625781","-3.06","4.62","14.95","86.08","-.05","8.57","30.03","265.97","197.38","102","Medical","Large Cap Pharmaceuticals","9.8","3"
"Ameris Bancorp","ABCB","5653.79","83.55","307349","-1.98","-4.47","-1.3","62.46","1.03","-.36","34.33","93.17","69.41","75","Finance","Banks - Southeast","21.98","3"
"ABCELLERA BIOLG","ABCL","3519.9","11.28","10530514","8.2","96.91","111.81","89.51","198.96","160.56","-248.83","12.5","2.78","161","Medical","Medical - Biomedical and Genetics","-248.83","3"
"ABM Industries","ABM","2731.63","46.41","354059","-.49","-4.33","9.9","77.19","-1.82","4.62","2.32","49.36","37.39","169","Business Services","Business - Services","1.75","3"
"Airbnb","ABNB","109709.51","182.545","5811258","-3.67","21.63","36.29","90.78","20.23","10.26","20.45","190.5","111.54","191","Consumer Discretionary","Leisure and Recreation Services","20.45","3"
"Abbott Laboratories","ABT","190965.11","108.93","7763809","-5.41","3.02","21.94","51.42","-21.55","5.67","19.79","136.62","82.56","97","Medical","Medical - Products","11.65","3"
"Abacus Global Management, Inc.","ABX","938.81","9.21","575029","-.1","-9.69","10.22","65.62","0","110.18","33.55","12","5.02","153","Finance","Financial - Miscellaneous Services","10.55","3"
"Arcosa","ACA","7135.22","145.48","571040",".02","-.01","17.61","99.66","21.72","12.2","7.82","145.49","89.15","165","Construction","Building Products - Miscellaneous","17.9","3"
"ACADIA Pharmaceuticals","ACAD","4981.35","28.89","1777292","-2.5","12.89","33.23","84.21","-3.6","11.87","9.31","30.57","20.06","161","Medical","Medical - Biomedical and Genetics","33.42","3"
"Accel Entertainment","ACEL","945.09","11.58","305955","-2.76","-3.24","-3.64","53.42","-9.14","8.12","4.58","13.41","9.61","177","Consumer Discretionary","Gaming","4.08","3"
